annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card,matched_id,matched_sample_id,matched_sample_name,matched_quantity,matched_camera_type_1,matched_deleted,matched_date_of_creation,matched_url,notes
182,80327,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
183,80327,nokia,no light,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
184,81561,nokia,benchtop,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
185,81561,nokia,lightbox,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
186,81561,nokia,no light,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
187,80327,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
188,80327,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
189,80327,ipad,no light,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
190,81561,ipad,benchtop,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
191,81561,ipad,lightbox,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
192,81561,ipad,no light,black,Hydroxyurea (oral),100 micro 8,0.8154976698,81.5,False,,,,,,,,,
193,81454,nokia,benchtop,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
194,81454,nokia,lightbox,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
195,81454,nokia,no light,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
196,81454,ipad,benchtop,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
197,81454,ipad,lightbox,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
198,81454,ipad,no light,white,Hydroxyurea (oral),100 mix 1,0.6983250249,69.8,False,,,,,,,,,
